id,stream,stage,title,inputs,decision,owner,approver,due,target_date,evidence,blocks,deps,gate,critical,owner_unknown,questions,drive_folder,task_manager_id,status
FL-03,Пол / тёплый пол,Скрытые работы / испытания,Монтаж и тест тёплого пола,CP-09 и FL-02,"Принять раскладку, датчики, зоны и результат теста до заливки",Алексей + специалист UFH — не назначен,Архитектор / инженер — не назначен,До стяжки/закрытия,[дата — после подтверждения графика],Фото трасс и протокол сопротивления либо давления,Стяжку и покрытия,CP-09; FL-02,СТОП: заливка только после подписанного теста,Нет,Да,A02; A07,03_Engineering/Floor_UFH,[ID после выбора системы],Не начато / требует данных
FL-04,Пол / тёплый пол,Отделка,"Стяжка, влажность, прогрев и финишный пол","FL-03, утверждённые материалы и режим производителя","Подтвердить ровность, остаточную влажность, запуск/прогрев и стыки",Алексей,Пользователь,"После успешного теста, до встроенной мебели",[дата — после подтверждения графика],Протокол ровности/влажности/запуска и приёмка покрытия,"Двери, кухню, мебель и передачу",FL-03; MA-02,СТОП: финиш не укладывать на неподтверждённое основание,Нет,Нет,,03_Engineering/Floor_UFH,[ID после выбора системы],Не начато / требует данных
HY-01,Гидроизоляция,Обследование / обмеры,Диагностика мокрых зон,"CP-02, основания, трапы, проходки, пороги и соседняя жилая часть","Определить состояние основания, сливов и зоны риска",Сантехник — не назначен + архитектор / инженер — не назначен,Алексей,До спецификации гидроизоляции,[дата — после подтверждения графика],"Акт осмотра, фото и схема проблемных узлов",Систему гидроизоляции и санузлы,CP-02,СТОП: требуется осмотр основания и сливов,Нет,Да,A02,03_Engineering/Waterproofing,[ID после выбора системы],Не начато / требует данных
HY-02,Гидроизоляция,Проектные решения,Система и узлы гидроизоляции,"HY-01, плитка, трапы, сантехника и разрез пола","Выбрать единую систему, высоты заведения и детали углов/проходок",Архитектор / инженер — не назначен,Пользователь,До CP-04 и закупки,[дата — после подтверждения графика],"Узлы, спецификация одного системного производителя и method statement","Подготовку основания, закупку и монтаж",HY-01; FL-02,СТОП: детали уточняются по фактическому основанию,Нет,Да,,03_Engineering/Waterproofing,[ID после выбора системы],Не начато / требует данных
HY-03,Гидроизоляция,Скрытые работы / испытания,Нанесение гидроизоляции,"SA-03, HY-02 и подготовленное основание","Принять каждый слой, проходки и примыкания до сокрытия",Алексей,Пользователь,"После сантехнических тестов, до облицовки",[дата — после подтверждения графика],"Послойные фото, номера партий и чек-лист нанесения",Пролив и плитку,SA-03; HY-02; CP-11,СТОП: обязательные фото hold points,Нет,Нет,,03_Engineering/Waterproofing,[ID после выбора системы],Не начато / требует данных
HY-04,Гидроизоляция,Скрытые работы / испытания,Испытание гидроизоляции,HY-03,Разрешить облицовку только после принятого пролива,Алексей,Архитектор / инженер — не назначен,До плитки и закрытия мокрой зоны,[дата — после подтверждения графика],Подписанный протокол пролива и фото,Закрытие конструкций и плитку,HY-03,СТОП: облицовка только после успешного испытания,Нет,Нет,A07,03_Engineering/Waterproofing,[ID после выбора системы],Не начато / требует данных
HV-01,Вентиляция / AC,Обследование / обмеры,Обследование HVAC и вентиляции,"CP-02, существующие блоки/каналы, фасад, балконы и доступ к обслуживанию","Проверить мощности, трассы, конденсат, воздух, шум и правила здания",HVAC-специалист — не назначен,Архитектор / инженер — не назначен,До выбора оборудования и потолков,[дата — после подтверждения графика],"Акт обследования, расчёт нагрузок и допустимые маршруты","Потолки, электрику, мебель и заказ оборудования",CP-02,СТОП: требуется осмотр и расчёт HVAC,Нет,Да,A02; A08; A10,03_Engineering/HVAC,[ID после выбора системы],Не начато / требует данных
HV-02,Вентиляция / AC,Проектные решения,Проект HVAC / вентиляции,"HV-01, планировка, свет, потолки и требования комфорта","Утвердить оборудование, решётки, трассы, дренаж, люки и управление",HVAC-специалист — не назначен,Пользователь + Ирина,До CP-04 и заказа оборудования,[дата — после подтверждения графика],"Координационные чертежи, ведомость и расчёт","Электрику, потолки, rough-in и закупку",HV-01; PL-02,СТОП: маршрут конденсата и сервисный доступ проверяются на месте,Нет,Да,,03_Engineering/HVAC,[ID после выбора системы],Не начато / требует данных
HV-03,Вентиляция / AC,Скрытые работы / испытания,Rough-in и тест HVAC,CP-09 и HV-02,"Принять трассы, герметичность, дренаж и доступ до потолка",HVAC-специалист — не назначен,Архитектор / инженер — не назначен,До закрытия потолков,[дата — после подтверждения графика],Протокол давления/герметичности/дренажа и фото,Закрытие потолков,CP-09; HV-02,СТОП: потолок закрывается после теста,Нет,Да,A07,03_Engineering/HVAC,[ID после выбора системы],Не начато / требует данных
HV-04,Вентиляция / AC,Приёмка,Пуск и балансировка HVAC,"HV-03, установленное оборудование и готовая электрика","Подтвердить температуру, расход воздуха, шум, конденсат и управление",HVAC-специалист — не назначен,Пользователь + Ирина,До CP-15,[дата — после подтверждения графика],"Отчёт пуска, балансировки и инструкции",Общую приёмку,HV-03; EL-04,СТОП: передача после функционального теста,Нет,Да,,03_Engineering/HVAC,[ID после выбора системы],Не начато / требует данных
EL-01,Электрика / освещение,Обследование / обмеры,"Аудит мощности, щита и заземления","CP-02, существующий щит, техника, HVAC и UFH","Определить доступную мощность, состояние кабелей, защиту и необходимость модернизации",Электрик — не назначен,Архитектор / инженер — не назначен,До планов нагрузок,[дата — после подтверждения графика],"Измерения, отчёт по мощности и перечень замечаний","Технику, HVAC, UFH и проект групп",CP-02,СТОП: требуется проверка квалифицированным электриком,Нет,Да,A02; A10,03_Engineering/Electrical_Lighting,[ID после выбора системы],Не начато / требует данных
EL-02,Электрика / освещение,Проектные решения,Силовой план и многоуровневый свет,"EL-01, план мебели, кухня, HVAC, потолки и сценарии Ирины","Утвердить точки, группы, выключатели, диммирование, драйверы и сервисный доступ",Пользователь + электрик — не назначен,Ирина + архитектор / инженер — не назначен,До CP-04,[дата — после подтверждения графика],"План розеток/выключателей, RCP, сценарии и ведомость групп","Rough-in, потолки, кухню и закупку света",EL-01; PL-02; KI-02; HV-02,СТОП: нагрузки и маршруты подтверждает электрик,Нет,Да,,03_Engineering/Electrical_Lighting,[ID после выбора системы],Не начато / требует данных
EL-03,Электрика / освещение,Скрытые работы / испытания,Электромонтаж first fix и тест,CP-09 и EL-02,"Принять трассы, коробки, маркировку, защиту и тесты до закрытия",Электрик — не назначен,Архитектор / инженер — не назначен,До закрытия стен/потолков,[дата — после подтверждения графика],"Фото трасс, continuity/insulation/RCD test и обновлённая схема щита",Закрытие конструкций,CP-09; EL-02,СТОП: закрытие только после протокола,Нет,Да,A07,03_Engineering/Electrical_Lighting,[ID после выбора системы],Не начато / требует данных
EL-04,Электрика / освещение,Мебель / свет,Монтаж и настройка света,"CP-13, EL-03, светильники и драйверы","Проверить сцены, фокусировку, диммирование, доступ к драйверам и маркировку",Электрик — не назначен,Пользователь + Ирина,До CP-14/CP-15,[дата — после подтверждения графика],Чек-лист сцен и функциональный тест,Пусконаладку и передачу,CP-13; EL-03; PR-03,,Нет,Да,,03_Engineering/Electrical_Lighting,[ID после выбора системы],Не начато / требует данных
SA-01,Сантехника,Обследование / обмеры,Обследование стояков и канализации,"CP-02, существующие санузлы, кухня, давление и ГВС","Проверить стояки, диаметры, уклоны, давление, вентиляцию и доступ к ревизиям",Сантехник — не назначен,Архитектор / инженер — не назначен,До переноса санузлов и выбора приборов,[дата — после подтверждения графика],"Акт обследования, замеры, тесты и схема существующих сетей",Планировку санузлов и трассы,CP-02,СТОП: переносы нельзя подтверждать без осмотра и замеров,Нет,Да,A02; A10,03_Engineering/Plumbing,[ID после выбора системы],Не начато / требует данных
SA-02,Сантехника,Проектные решения,"Приборы, точки, уклоны и ревизии","SA-01, планировка, модели приборов и кухня","Утвердить приборы, точки, маршруты, уклоны и сервисный доступ",Сантехник — не назначен,Пользователь + Ирина,До CP-04,[дата — после подтверждения графика],Координационный план и монтажные листы приборов,"Стены, закупку и rough-in",SA-01; PL-02; KI-02,СТОП: модели приборов и фактические уровни должны быть подтверждены,Нет,Да,,03_Engineering/Plumbing,[ID после выбора системы],Не начато / требует данных
SA-03,Сантехника,Скрытые работы / испытания,Rough-in и тест сантехники,CP-09 и SA-02,"Принять давление, слив, уклоны, герметичность и фото трасс",Сантехник — не назначен,Архитектор / инженер — не назначен,До гидроизоляции и закрытия,[дата — после подтверждения графика],Протокол опрессовки/пролива и фото,Гидроизоляцию и закрытие,CP-09; SA-02,СТОП: переход только после тестов,Нет,Да,A07,03_Engineering/Plumbing,[ID после выбора системы],Не начато / требует данных
SA-04,Сантехника,Мебель / свет,Финальная установка сантехники,"CP-13, SA-03 и принятые приборы","Проверить крепление, герметизацию, расход, слив и доступ к сервису",Сантехник — не назначен,Пользователь,До CP-14/CP-15,[дата — после подтверждения графика],Чек-лист функций и отсутствия протечек,Общую пусконаладку,CP-13; SA-03; PR-03,,Нет,Да,,03_Engineering/Plumbing,[ID после выбора системы],Не начато / требует данных
KI-01,Кухня,Проектные решения,Концепция и эргономика кухни,"CP-03, бриф, сохраняемый стол и подтверждённая ниша","Утвердить компоновку, хранение, фасады, фартук и свет",Пользователь,Ирина,До KI-02,[дата — после подтверждения графика],Утверждённые план/развёртки и перечень открытых вопросов,"Технику, инженерные точки и shop drawings",CP-03; AR-01,СТОП: предварительные модули не являются производственными размерами,Нет,Нет,,02_Design/Kitchen,[ID после выбора системы],Не начато / требует данных
KI-02,Кухня,Проектные решения,Техника и инженерные требования кухни,"KI-01, точные модели техники и монтажные инструкции","Заморозить технику, вентиляционные зазоры, воду, слив, питание и освещение",Пользователь + мебельщик / конструктор — не назначен,Ирина + архитектор / инженер — не назначен,До CP-04 и rough-in,[дата — после подтверждения графика],Подписанная ведомость техники и координационный лист,"Сантехнику, электрику, вентиляцию и производство",KI-01; EL-01; SA-01; HV-01,СТОП: только точные модели и монтажные листы,Нет,Да,,02_Design/Kitchen,[ID после выбора системы],Не начато / требует данных
KI-03,Кухня,Отделка,Контрольный замер и выпуск кухни,"CP-13, KI-02, готовые/определённые стены и уровни","Утвердить shop drawings, допуски, материалы, фурнитуру и заказ",Мебельщик / конструктор — не назначен,Пользователь + Ирина,"После готовности геометрии, до производства",[дата — после подтверждения графика],"Подписанный контрольный замер, shop drawings и образцы",Производство и монтаж кухни,CP-13; KI-02; MA-02,СТОП: производство только после физического контрольного замера,Нет,Да,A02; A12,02_Design/Kitchen,[ID после выбора системы],Не начато / требует данных
KI-04,Кухня,Мебель / свет,Монтаж и приёмка кухни,"KI-03, поставленные модули, столешница и техника","Принять геометрию, фасады, фурнитуру, подключение и вентиляцию",Мебельщик / конструктор — не назначен,Пользователь + Ирина,До CP-14,[дата — после подтверждения графика],"Монтажный чек-лист, тест техники и punch list",Общую пусконаладку,KI-03; PR-03,,Нет,Да,,02_Design/Kitchen,[ID после выбора системы],Не начато / требует данных
WA-01,Walk-in гардеробная,Бриф,Инвентаризация хранения,"Состав вещей, длинное/короткое хранение, обувь, чемоданы и зеркало",Утвердить вместимость и приоритеты,Пользователь,Ирина,До компоновки,[дата — после подтверждения графика],Подписанная ведомость хранения,Проект гардеробной,CP-01,,Нет,Нет,,02_Design/Walk_in_Wardrobe,[ID после выбора системы],Не начато / требует данных
WA-02,Walk-in гардеробная,Отделка,Shop drawings и контрольный замер гардеробной,"CP-13, WA-01, вентиляция, свет, дверной проход и готовая геометрия","Утвердить компоновку, материалы, фурнитуру и заказ",Мебельщик / конструктор — не назначен,Пользователь + Ирина,"После готовности геометрии, до производства",[дата — после подтверждения графика],"Контрольный замер, shop drawings и образец",Производство и монтаж,CP-13; WA-01; HV-02; EL-02,СТОП: нужен физический замер и проверка вентиляции,Нет,Да,,02_Design/Walk_in_Wardrobe,[ID после выбора системы],Не начато / требует данных
WA-03,Walk-in гардеробная,Мебель / свет,Монтаж и приёмка гардеробной,WA-02 и поставленные элементы,"Проверить вместимость, геометрию, фурнитуру, подсветку и двери",Мебельщик / конструктор — не назначен,Пользователь + Ирина,До CP-14,[дата — после подтверждения графика],Чек-лист функций и дефектов,Финальную приёмку,WA-02; PR-03,,Нет,Да,,02_Design/Walk_in_Wardrobe,[ID после выбора системы],Не начато / требует данных
DG-01,Двери / стекло,Проектные решения,Ведомость дверей и стекла,"PL-02, полы, приватность, влажность, безопасность и образцы","Утвердить типы, направления, фурнитуру, стекло и подготовку проёмов",Пользователь,Ирина + архитектор / инженер — не назначен,До CP-04 и подготовки проёмов,[дата — после подтверждения графика],"Ведомость, узлы, требования безопасного стекла и образцы","Проёмы, смету и запрос поставщику",PL-02; FL-02,СТОП: размеры привязать к проверенным проёмам и уровням,Нет,Нет,,02_Design/Doors_Glass,[ID после выбора системы],Не начато / требует данных
DG-02,Двери / стекло,Отделка,Финальный замер и заказ дверей/стекла,"CP-13, DG-01 и готовые проёмы/уровни пола","Подписать замер, shop drawings, фурнитуру и заказ",Поставщик — не назначен,Пользователь,"После готовности проёмов, до производства",[дата — после подтверждения графика],"Подписанный замер, shop drawings и PO",Производство и монтаж,CP-13; DG-01,СТОП: заказ только после физического контрольного замера,Нет,Да,A12,02_Design/Doors_Glass,[ID после выбора системы],Не начато / требует данных
DG-03,Двери / стекло,Мебель / свет,Монтаж и приёмка дверей/стекла,DG-02 и поставленные изделия,"Проверить зазоры, регулировку, уплотнения, фурнитуру и маркировку safety glass",Поставщик — не назначен,Пользователь,До CP-14,[дата — после подтверждения графика],"Монтажный акт, сертификат стекла и punch list",Финальную приёмку,DG-02; PR-03,,Нет,Да,,02_Design/Doors_Glass,[ID после выбора системы],Не начато / требует данных
MA-01,Материалы / образцы,Проектные решения,Ведомость отделки по помещениям,"CP-03, палитра, эксплуатационные требования и измеренные площади","Определить материал, код, характеристики, зону и допустимую замену",Пользователь,Ирина,До CP-04 и котировок,[дата — после подтверждения графика],Room finish schedule и технические спецификации,"Смету, узлы и образцы",CP-03,СТОП: точные количества только после обмера,Нет,Нет,,02_Design/Materials_Samples,[ID после выбора системы],Не начато / требует данных
MA-02,Материалы / образцы,Смета / согласования,Физические образцы и mock-up приняты,"MA-01, реальный свет, сохраняемая мебель, мокрые/наружные требования","Утвердить реальные образцы, сочетания, швы и контрольный эталон",Пользователь,Ирина,До массового заказа и отделки,[дата — после подтверждения графика],"Коды образцов, фото на объекте и лист согласования",Закупку и чистовую отделку,MA-01; AR-01,СТОП: массовая закупка только после физического образца,Нет,Нет,,02_Design/Materials_Samples,[ID после выбора системы],Не начато / требует данных
MA-03,Материалы / образцы,Закупки,"Заказ, партии и входной контроль материалов","MA-02, проверенные количества и коммерческие предложения","Подтвердить партию, запас, доставку, хранение и замены",Поставщик — не назначен,Пользователь,До начала соответствующей отделки,[дата — после подтверждения графика],"PO, партия, ведомость количества и акт приёмки",Отделку,MA-02; PR-02,СТОП: количество и партия проверяются до оплаты/укладки,Нет,Да,,02_Design/Materials_Samples,[ID после выбора системы],Не начато / требует данных
BA-01,Балконы,Обследование / обмеры,Диагностика балконов и правила здания,"CP-02, пороги, уклоны, дренаж, гидроизоляция, фасад и общедомовые правила","Определить допустимый объём, ответственность и необходимость разрешения",Архитектор / инженер — не назначен,Алексей,До решения по наружным работам,[дата — после подтверждения графика],"Акт осмотра, фото, замеры и ответ управления здания","Материалы, наружные блоки и работы",CP-02,СТОП: нельзя обещать фасадные/балконные работы без осмотра и согласования,Нет,Да,A08,03_Engineering/Balconies,[ID после выбора системы],Не начато / требует данных
BA-02,Балконы,Проектные решения,Узлы и материалы балконов,"BA-01, смежный пол, наружное скольжение и температурные требования","Утвердить уклоны, дренаж, примыкания, деформации и плитку",Пользователь,Ирина + архитектор / инженер — не назначен,До заказа и работ,[дата — после подтверждения графика],"Узлы, образец и подтверждение допуска",Закупку и выполнение,BA-01; FL-02; MA-02,,Нет,Нет,,03_Engineering/Balconies,[ID после выбора системы],Не начато / требует данных
BA-03,Балконы,Приёмка,Работы и испытание балконов,BA-02 и принятые материалы,"Проверить уклоны, сток, пороги, герметичность и отделку",Алексей,Архитектор / инженер — не назначен,До CP-15,[дата — после подтверждения графика],"Тест водой/дренажом, фото и приёмка отделки",Общую приёмку,BA-02; MA-03,СТОП: приёмка после испытания стока,Нет,Нет,,03_Engineering/Balconies,[ID после выбора системы],Не начато / требует данных
AR-01,Сохраняемая мебель / арт,Бриф,Инвентаризация и план защиты,"Стол, комод, зеркала, искусство и прочие сохраняемые предметы","Зафиксировать оставить/вывезти/реставрировать, размеры, состояние и место хранения",Пользователь,Ирина,До CP-06 и финального дизайна,[дата — после подтверждения графика],"Подписанная опись, фото, размеры, маркировка и план хранения","Защиту площадки, мебельный план, свет и отделку",CP-01,СТОП: размеры и состояние фиксируются на объекте,Нет,Нет,,01_Surveys/Existing_Furniture_Art,[ID после выбора системы],Не начато / требует данных
AR-02,Сохраняемая мебель / арт,Мебель / свет,Возврат мебели и арт,"CP-13, AR-01, закладные и свет",Вернуть предметы без повреждений и принять итоговую композицию,Алексей,Ирина,"После пыльных работ, до CP-16",[дата — после подтверждения графика],Фото цепочки хранения и акт состояния,Финальную передачу,CP-13; AR-01; EL-04,,Нет,Нет,,01_Surveys/Existing_Furniture_Art,[ID после выбора системы],Не начато / требует данных
PR-01,Закупки / логистика,Смета / согласования,Реестр long-lead,"CP-03, проектные решения и предложения поставщиков",Определить позиции с подтверждёнными сроками поставки и крайними точками решений,Пользователь,Ирина,Обновлять до design freeze и далее,[дата — после подтверждения графика],"Реестр с источником срока, ревизией спецификации и риском",Календарную программу и своевременный монтаж,CP-03,,Нет,Нет,A05; A12,05_Procurement_Logistics,[ID после выбора системы],Не начато / требует данных
